sample;metabolite;derivative;isotopologue;isotopic_inchi;area;corrected_area;isotopologue_fraction;residuum;mean_enrichment
045_A27.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);320992.5;79522.74439;0.005128629;2.13E-05;0.008450765
045_A27.cdf;Alanine;AccQ;3;/a(C3+1);28411.8;0;0;-0.000160731;0.008450765
046_A28.cdf;Alanine;AccQ;0;/a(C3+0);10508103.5;12324819.61;0.975609936;0;0.008977388
046_A28.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1861065.7;280306.9557;0.02218858;0;0.008977388
046_A28.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);236237.7;23508.20529;0.001860866;0;0.008977388
046_A28.cdf;Alanine;AccQ;3;/a(C3+1);25320.5;4302.994938;0.000340617;0;0.008977388
047_A29.cdf;Alanine;AccQ;0;/a(C3+0);12317982.8;14447451.7;0.975074254;0;0.009189755
047_A29.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);2194308.9;343789.9901;0.023202761;1.26E-16;0.009189755
047_A29.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);265600.4;11889.72906;0.000802451;-1.41E-16;0.009189755
047_A29.cdf;Alanine;AccQ;3;/a(C3+1);35476.6;13639.33827;0.000920534;-2.26E-17;0.009189755
048_A30.cdf;Alanine;AccQ;0;/a(C3+0);12133825.3;14231656.45;0.975570392;0;0.009172105
048_A30.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);2144915.9;318832.9951;0.021855785;0;0.009172105
048_A30.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);274758.1;30065.04975;0.002060939;0;0.009172105
048_A30.cdf;Alanine;AccQ;3;/a(C3+1);31659.1;7481.969036;0.000512884;0;0.009172105
049_QC_3.cdf;Alanine;AccQ;0;/a(C3+0);9049776.4;10613319.43;0.967657297;-2.39E-07;0.011342382
049_QC_3.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1691297.6;345499.0536;0.031500482;7.08E-06;0.011342382
049_QC_3.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);198465.1;0;0;-4.95E-05;0.011342382
049_QC_3.cdf;Alanine;AccQ;3;/a(C3+1);25664.9;9237.527404;0.000842221;1.49E-06;0.011342382
050_A31.cdf;Alanine;AccQ;0;/a(C3+0);9760028;11447196.21;0.974647362;-1.59E-16;0.009238467
050_A31.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1746586.9;281824.5193;0.023995354;0;0.009238467
050_A31.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);207098.8;4131.934863;0.000351805;0;0.009238467
050_A31.cdf;Alanine;AccQ;3;/a(C3+1);28495.1;11809.31401;0.001005479;-1.24E-18;0.009238467
051_A32.cdf;Alanine;AccQ;0;/a(C3+0);13909628.8;16316370.56;0.987067423;0;0.005182033
051_A32.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);2299299.4;178603.1234;0.01080469;-2.82E-17;0.005182033
051_A32.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);285816.9;27146.69006;0.001642253;0;0.005182033
051_A32.cdf;Alanine;AccQ;3;/a(C3+1);32481.9;8027.600436;0.000485634;4.40E-19;0.005182033
052_A33.cdf;Alanine;AccQ;0;/a(C3+0);12582712.2;14759008.9;0.982620465;0;0.0063314
052_A33.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);2151736.2;246105.9442;0.016385161;-3.10E-17;0.0063314
052_A33.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);252742.6;5618.734591;0.000374082;-2.13E-17;0.0063314
052_A33.cdf;Alanine;AccQ;3;/a(C3+1);30130.4;9316.809154;0.000620291;-1.67E-17;0.0063314
053_A34.cdf;Alanine;AccQ;0;/a(C3+0);23444886.1;27499469.17;0.979101047;2.65E-16;0.008057645
053_A34.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);4045913.8;500111.3153;0.017806144;0;0.008057645
053_A34.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);536725.7;81777.48987;0.002911635;8.29E-18;0.008057645
053_A34.cdf;Alanine;AccQ;3;/a(C3+1);54271.8;5088.519138;0.000181173;1.55E-17;0.008057645
054_A35.cdf;Alanine;AccQ;0;/a(C3+0);24443146.7;28671050.33;0.98084001;0;0.007624806
054_A35.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);4160938.9;453914.6625;0.015528474;0;0.007624806
054_A35.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);567052.3;103729.6345;0.003548603;1.59E-17;0.007624806
054_A35.cdf;Alanine;AccQ;3;/a(C3+1);55302.6;2423.634696;8.29E-05;2.27E-17;0.007624806
055_A36.cdf;Alanine;AccQ;0;/a(C3+0);7945100.9;9317514.844;0.964225602;0;0.012883062
055_A36.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1507591.6;329998.67;0.034150004;0;0.012883062
055_A36.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);181176.6;3614.053824;0.000374001;-3.01E-18;0.012883062
055_A36.cdf;Alanine;AccQ;3;/a(C3+1);26692.2;12082.812;0.001250393;-3.77E-19;0.012883062
056_A37.cdf;Alanine;AccQ;0;/a(C3+0);10448173.5;12253423.39;0.96859633;1.47E-16;0.010852556
056_A37.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1943526;388235.5145;0.030688852;1.84E-17;0.010852556
056_A37.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);231307.7;3487.03781;0.00027564;0;0.010852556
056_A37.cdf;Alanine;AccQ;3;/a(C3+1);25484.3;5555.916837;0.000439179;2.88E-19;0.010852556
057_A38.cdf;Alanine;AccQ;0;/a(C3+0);9111406.2;10685294.37;0.964752593;-1.01E-07;0.01251743
057_A38.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1728165.1;377625.0495;0.034094966;3.01E-06;0.01251743
057_A38.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);203864.2;0;0;-2.10E-05;0.01251743
057_A38.cdf;Alanine;AccQ;3;/a(C3+1);29199.5;12764.07162;0.001152441;6.35E-07;0.01251743
058_A39.cdf;Alanine;AccQ;0;/a(C3+0);10592906.1;12424245.67;0.974291048;1.46E-16;0.00987992
058_A39.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1879358.1;286214.8272;0.022444545;-1.83E-17;0.00987992
058_A39.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);246771.1;33130.00151;0.002598006;3.42E-17;0.00987992
058_A39.cdf;Alanine;AccQ;3;/a(C3+1);30211.3;8498.002254;0.000666401;5.85E-17;0.00987992
059_A40.cdf;Alanine;AccQ;0;/a(C3+0);25063187.9;29395400.2;0.9716098;0;0.010676675
059_A40.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);4514393.5;756313.0806;0.02499851;0;0.010676675
059_A40.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);607536.3;95106.18158;0.003143556;1.15E-17;0.010676675
059_A40.cdf;Alanine;AccQ;3;/a(C3+1);63638.5;7507.118989;0.000248134;1.78E-17;0.010676675
060_QC_4.cdf;Alanine;AccQ;0;/a(C3+0);9059715.8;10624719.3;0.96539305;-2.12E-06;0.011971083
060_QC_4.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1717484.5;373681.5846;0.033953801;6.28E-05;0.011971083
060_QC_4.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);197746;0;0;-0.000439157;0.011971083
060_QC_4.cdf;Alanine;AccQ;3;/a(C3+1);24430.1;7188.291813;0.000653149;1.33E-05;0.011971083
061_A41.cdf;Alanine;AccQ;0;/a(C3+0);6614842.8;7757418.344;0.963012836;-5.91E-06;0.013352479
061_A41.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1265778;285578.9692;0.035452028;0.000175173;0.013352479
061_A41.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);139800.2;0;0;-0.001224759;0.013352479
061_A41.cdf;Alanine;AccQ;3;/a(C3+1);24301.8;12366.07901;0.001535136;3.70E-05;0.013352479
062_A42.cdf;Alanine;AccQ;0;/a(C3+0);8365772.3;9811791.884;0.972131085;0;0.01065398
062_A42.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1508168.1;254382.2662;0.025203644;2.31E-17;0.01065398
062_A42.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);186853;12490.32548;0.001237514;5.77E-18;0.01065398
062_A42.cdf;Alanine;AccQ;3;/a(C3+1);29288.8;14410.45105;0.001427756;3.61E-19;0.01065398
063_A43.cdf;Alanine;AccQ;0;/a(C3+0);8649617.6;10144558.68;0.971925989;-4.29E-06;0.010043956
063_A43.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1576885.4;282285.3121;0.027045083;0.000127133;0.010043956
063_A43.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);175122.7;0;0;-0.000888879;0.010043956
063_A43.cdf;Alanine;AccQ;3;/a(C3+1);25788.7;10739.52451;0.001028928;2.68E-05;0.010043956
064_A44.cdf;Alanine;AccQ;0;/a(C3+0);8779337;10296118.42;0.967026435;-1.97E-06;0.011621404
064_A44.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1646282.8;341010.9176;0.032028242;5.84E-05;0.011621404
064_A44.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);189460.5;0;0;-0.000408199;0.011621404
064_A44.cdf;Alanine;AccQ;3;/a(C3+1);26037.7;10065.0427;0.000945323;1.23E-05;0.011621404
065_A45.cdf;Alanine;AccQ;0;/a(C3+0);2203393.4;2583970.34;0.957136994;0;0.018838808
065_A45.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);420746.1;94529.39982;0.035014947;1.29E-16;0.018838808
065_A45.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);54795.3;5514.646402;0.002042698;1.51E-16;0.018838808
065_A45.cdf;Alanine;AccQ;3;/a(C3+1);18519.4;15672.65497;0.00580536;-1.20E-16;0.018838808
066_A46.cdf;Alanine;AccQ;0;/a(C3+0);5999913.4;7036342.664;0.963837062;0;0.013422029
066_A46.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1136692.7;247073.2317;0.033844051;0;0.013422029
066_A46.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);137664.1;3902.953082;0.000534626;1.60E-17;0.013422029
066_A46.cdf;Alanine;AccQ;3;/a(C3+1);23606.5;13025.72471;0.001784262;9.97E-18;0.013422029
067_A47.cdf;Alanine;AccQ;0;/a(C3+0);7542635.2;8845249.655;0.960910422;1.01E-16;0.014031696
067_A47.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1454800.8;340785.7281;0.037021517;2.53E-17;0.014031696
067_A47.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);181262.6;10407.34636;0.00113061;3.16E-18;0.014031696
067_A47.cdf;Alanine;AccQ;3;/a(C3+1);24065;8629.303142;0.000937451;0;0.014031696
068_A48.cdf;Alanine;AccQ;0;/a(C3+0);5335699.4;6256379.912;0.948044747;-1.72E-05;0.018312197
068_A48.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1110815.8;333028.1709;0.050464584;0.000511061;0.018312197
068_A48.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);109775.1;0;0;-0.003573194;0.018312197
068_A48.cdf;Alanine;AccQ;3;/a(C3+1);21332.5;9837.292561;0.001490669;0.000107857;0.018312197
069_A49.cdf;Alanine;AccQ;0;/a(C3+0);7585749.6;8895719.374;0.959982229;-2.22E-06;0.014536745
069_A49.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1473314.8;354181.6476;0.038221539;6.58E-05;0.014536745
069_A49.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);170687.7;0;0;-0.000460101;0.014536745
069_A49.cdf;Alanine;AccQ;3;/a(C3+1);30126.8;16644.8612;0.001796231;1.39E-05;0.014536745
070_A50.cdf;Alanine;AccQ;0;/a(C3+0);12599645;14778130.95;0.975509781;1.23E-16;0.009664167
070_A50.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);2217280.5;319289.3018;0.021076403;0;0.009664167
070_A50.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);287520.1;35227.0421;0.00232535;-1.54E-17;0.009664167
070_A50.cdf;Alanine;AccQ;3;/a(C3+1);40647.6;16489.32886;0.001088467;2.26E-17;0.009664167
071_QC_5.cdf;Alanine;AccQ;0;/a(C3+0);8884152.2;10418677.23;0.962885117;-4.45E-06;0.013436452
071_QC_5.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1700198.2;384310.5428;0.035517647;0.000131846;0.013436452
