Compound;Time;Labeling;Treatment;N;mean;sd;se
111;Citrulline;30min;L;P;5;3435545.8;845385.104401952;378067.712121704
112;Citrulline;30min;U;C;5;1967332;789452.07794267;353053.702251655
113;Citrulline;30min;U;Fe;5;956943.6;375669.143306713;168004.348296584
114;Citrulline;30min;U;P;5;4119874;1504266.27612385;672728.329934677
115;Citrulline;60min;L;C;5;1761135.6;528846.875513414;236507.512667272
116;Citrulline;60min;L;Fe;5;1226634.6;528972.837807198;236563.844717573
117;Citrulline;60min;L;P;5;4442648.8;1254105.7809498;560853.155435841
118;Citrulline;60min;U;C;5;1704370;498210.053120167;222806.309170095
119;Citrulline;60min;U;Fe;5;1107718.6;487296.165324333;217925.470168037
120;Citrulline;60min;U;P;5;3044606.2;698029.344844971;312168.2130726
121;GABA;120min;L;C;5;52959506;9186381.17455563;4108274.55470615
122;GABA;120min;L;Fe;5;41527424;8158227.0033188;3648470.03105905
123;GABA;120min;L;P;5;79880718;32515022.4360213;14541160.0913749
124;GABA;120min;U;C;5;62083334;35127263.1831634;15709389.6682158
125;GABA;120min;U;Fe;5;21224028;4675986.14107442;2091164.57465786
126;GABA;120min;U;P;5;25176844;3784602.6672598;1692525.76636399
127;GABA;15min;L;C;5;59852290;19691819.2761296;8806449.3004133
128;GABA;15min;L;Fe;4;39768502.5;6984455.18686259;3492227.59343129
129;GABA;15min;L;P;5;50201458;4591820.44477678;2053524.53099884
130;GABA;15min;U;C;5;64243816;35051453.6534511;15675486.61586
131;GABA;15min;U;Fe;5;25004239.2;11975614.9154059;5355657.80464161
132;GABA;15min;U;P;5;29874056;3504355.10080386;1567195.24453911
133;GABA;30min;L;C;5;46001608;10738887.4550239;4802576.47043064
134;GABA;30min;L;Fe;5;37040226;4268585.41091542;1908969.42931415
135;GABA;30min;L;P;5;58111674;13733250.1803426;6141696.19105146
136;GABA;30min;U;C;5;49646158;18249913.1726461;8161609.28750109
137;GABA;30min;U;Fe;5;29723398.8;11602371.9217709;5188738.46346291
138;GABA;30min;U;P;5;31167446;2010976.05881572;899335.833727312
139;GABA;60min;L;C;5;43791668;10638252.5205585;4757571.15955547
140;GABA;60min;L;Fe;5;50542726;10420385.9483121;4660138.26644189
141;GABA;60min;L;P;5;81002288;9500083.24369687;4248566.38496258
142;GABA;60min;U;C;5;47648886;24059263.18817;10759629.5954613
143;GABA;60min;U;Fe;5;47444174;12293073.6397811;5497629.66219224
144;GABA;60min;U;P;5;27006736;3012225.88393201;1347108.36801127
145;Glutamic acid;120min;L;C;5;43732602;7587838.56679358;3393384.567529
146;Glutamic acid;120min;L;Fe;5;25404148;11524088.4647103;5153729.0371627
147;Glutamic acid;120min;L;P;5;40143236;15865892.8982339;7095443.00883645
148;Glutamic acid;120min;U;C;5;41027234;6932051.4970844;3100107.67420198
149;Glutamic acid;120min;U;Fe;5;33956718;5868494.85892848;2624470.68603442
150;Glutamic acid;120min;U;P;5;51286772;11186850.8055538;5002911.77107332
151;Glutamic acid;15min;L;C;5;42119638;3879298.53357795;1734875.04521911
152;Glutamic acid;15min;L;Fe;4;35262070;8376519.2665888;4188259.6332944
153;Glutamic acid;15min;L;P;5;49066234;6661631.52214456;2979172.18491412
154;Glutamic acid;15min;U;C;5;42576038;3996911.66754033;1787473.23773644
155;Glutamic acid;15min;U;Fe;5;29337557.2;15915001.5541827;7117405.06743348
156;Glutamic acid;15min;U;P;5;44663638;5817974.43661194;2601877.26632407
157;Glutamic acid;30min;L;C;5;39157518;6271194.15129368;2804563.28447835
158;Glutamic acid;30min;L;Fe;5;32935042;7093666.76683293;3172384.22007392
159;Glutamic acid;30min;L;P;5;43515604;8396339.07407449;3754956.98635364
160;Glutamic acid;30min;U;C;5;50506862;4488221.67084804;2007193.75082078
161;Glutamic acid;30min;U;Fe;5;35883042;14321889.7391762;6404943.80461094
162;Glutamic acid;30min;U;P;5;48536478;6418513.25125765;2870446.38885906
163;Glutamic acid;60min;L;C;5;40974570;3831998.22929239;1713721.70607132
164;Glutamic acid;60min;L;Fe;5;36843918;6556617.26029665;2932208.37929435
165;Glutamic acid;60min;L;P;5;47788330;7828102.65654456;3500833.93497607
166;Glutamic acid;60min;U;C;5;38402336;6556684.41124247;2932238.41011027
167;Glutamic acid;60min;U;Fe;5;43002638;7787672.00462179;3482752.79776128
168;Glutamic acid;60min;U;P;5;45279546;7143587.47245948;3194709.43832706
169;Glutamine;120min;L;C;5;25656988;4948323.63236986;2212957.60332954
170;Glutamine;120min;L;Fe;5;7846986;7063291.29020689;3158799.89395696
171;Glutamine;120min;L;P;5;122378696;46647408.1689656;20861355.1279972
172;Glutamine;120min;U;C;5;37058000;9801499.82233587;4383363.97683902
173;Glutamine;120min;U;Fe;5;14492400;1913799.30704607;855877.069169399
174;Glutamine;120min;U;P;5;134572038;56227343.1882854;25145632.3126432
175;Glutamine;15min;L;C;5;50492410;13177023.8201822;5892944.20061229
176;Glutamine;15min;L;Fe;4;19483835;3248178.25867054;1624089.12933527
177;Glutamine;15min;L;P;5;141543700;17789781.9074602;7955832.3299954
178;Glutamine;15min;U;C;5;46725412;8715464.80199823;3897674.35055496
179;Glutamine;15min;U;Fe;5;18670900.4;9757984.03021909;4363903.12298545
180;Glutamine;15min;U;P;5;139035476;32700076.6896483;14623918.869502
