"metabolite";"Time";"Treatment";"L";"L_se";"U";"U_se";"Enrichment";"P_Value"
"GABA";"15";"Fe";0.014809876;0.00157199157463492;0.0089338306;0.00147344085551371;0.0058760454;0.0317460317460317
"GABA";"15";"P";0.0204239832;0.00112937069870036;0.0075954266;0.000729515580262588;0.0128285566;0.00396825396825397
"GABA";"30";"C";0.0202077874;0.00151448350013001;0.014165224;0.00248194038253196;0.0060425634;0.0476190476190476
"GABA";"30";"Fe";0.0191112056;0.00106030392907824;0.0095233836;0.000498381797233065;0.009587822;0.00396825396825397
"GABA";"30";"P";0.0294576806;0.00323834742125887;0.0084523104;0.00035310025391659;0.0210053702;0.00396825396825397
"GABA";"60";"Fe";0.0248028328;0.0015887048541104;0.0138740228;0.00181498525567571;0.01092881;0.00396825396825397
"GABA";"60";"P";0.0400335444;0.00227910096263219;0.0070221364;0.000527007565382756;0.033011408;0.00396825396825397
"GABA";"120";"Fe";0.019997977;0.00110499492577618;0.0061389766;0.000314096201170533;0.0138590004;0.00396825396825397
"GABA";"120";"P";0.0385962184;0.00495313765934742;0.0067872416;0.000355007486966909;0.0318089768;0.00396825396825397
"Glutamate";"15";"C";0.0162085324;0.0010368899718467;0.0083318152;0.000506070124001151;0.0078767172;0.00396825396825397
"Glutamate";"15";"Fe";0.01385697;0.00131433617173189;0.0063409798;0.00112106921694298;0.0075159902;0.00793650793650794
"Glutamate";"15";"P";0.0222766786;0.0015495840865306;0.0095567562;0.000766064485413297;0.0127199224;0.00396825396825397
"Glutamate";"30";"C";0.0232428876;0.00250806676458003;0.0105486346;0.000540242393621474;0.012694253;0.00396825396825397
"Glutamate";"30";"Fe";0.0198959414;0.00184770854004087;0.007410489;0.000921278318429615;0.0124854524;0.00396825396825397
"Glutamate";"30";"P";0.0221906498;0.00208436904139136;0.0107783356;0.00086140513764428;0.0114123142;0.00396825396825397
"Glutamate";"60";"C";0.0270299384;0.00114371852843886;0.0076584154;0.000844376885685924;0.019371523;0.00396825396825397
"Glutamate";"60";"Fe";0.020779805;0.00123145341012033;0.0088863528;0.000996422833967809;0.0118934522;0.00396825396825397
"Glutamate";"60";"P";0.0264522346;0.00109594904502379;0.0096613596;0.000899573187708849;0.016790875;0.00396825396825397
"Glutamate";"120";"C";0.0226162068;0.00146891459491787;0.0082808632;0.000801327373666181;0.0143353436;0.00396825396825397
"Glutamate";"120";"Fe";0.0200661206;0.00185710917403995;0.006551966;0.000689043451101017;0.0135141546;0.00396825396825397
"Glutamate";"120";"P";0.0262528162;0.00141884928777271;0.0117085794;0.00152271550469934;0.0145442368;0.00396825396825397
"Glutamine";"15";"C";0.015956654;0.00142365040567114;0.010969978;0.00141604026040533;0.004986676;0.0277777777777778
"Glutamine";"15";"Fe";0.01103642675;0.000593537752907144;0.0047099254;0.0012119355907625;0.00632650135;0.00793650793650794
"Glutamine";"30";"C";0.0266503756;0.00321315764217988;0.0118193736;0.000974023760212481;0.014831002;0.00396825396825397
"Glutamine";"30";"Fe";0.0219215524;0.00145864003260303;0.0041262224;0.000650282056141302;0.01779533;0.00396825396825397
"Glutamine";"60";"C";0.0343151124;0.00195531334384128;0.0056155522;0.000669382881056081;0.0286995602;0.00396825396825397
"Glutamine";"60";"Fe";0.0258221786;0.0019094391402025;0.0038683558;0.000546907545487571;0.0219538228;0.00396825396825397
"Glutamine";"120";"C";0.0176787956;0.00195303845918332;0.0082673686;0.00145503723584101;0.009411427;0.00793650793650794
"Glutamine";"120";"Fe";0.0245417428;0.0035416816351625;0.0025518454;0.000216640178141452;0.0219898974;0.00396825396825397
"Glycine";"30";"C";0.0171864564;0.00106085955186865;0.014604388;0.00086609058893334;0.0025820684;0.0476190476190476
"Histidine";"60";"P";0.0056608824;0.000402183099081824;0.0036063802;0.00104989402720862;0.0020545022;0.0476190476190476
"Isoleucine";"60";"P";0.0257424314;0.00107119611475194;0.0166234226;0.00224162811446758;0.0091190088;0.00396825396825397
"Leucine";"60";"P";0.0118442772;0.0016043031357177;0.0060125432;0.00111322767166408;0.005831734;0.0158730158730159
"Lysine";"15";"Fe";0.02744710475;0.000901629708410866;0.0255881568;0.000240368569728948;0.00185894795;0.0317460317460317
"Lysine";"30";"C";0.0232313712;0.000991289057936654;0.0209792216;0.000453753840659514;0.0022521496;0.0476190476190476
"Lysine";"30";"P";0.0207315936;0.000228942479582449;0.0199842536;0.000338966291927471;0.000747339999999999;0.0277777777777778
"Methionine";"30";"P";0.0087034484;0.000456921087872578;0.0064207636;0.000683498313889332;0.0022826848;0.0158730158730159
"Ornithine";"60";"P";0.0057245378;0.000976900514489188;0.0017641066;0.000981544783538815;0.0039604312;0.0468463097466241
"Ornithine";"120";"P";0.0044458018;0.00105439899890575;0.0012349152;0.000670571580806136;0.0032108866;0.0180725710232812
"Proline";"30";"C";0.0130501246;0.00189115933119789;0.0082440324;0.00103332616084998;0.0048060922;0.0277777777777778
"Serine";"30";"C";0.0069387438;0.000592718157943588;0.0051810766;0.000712005080002215;0.0017576672;0.0476190476190476
