"metabolite";"derivative";"isotopologue";"sample";"area"
"119";"Oxaloacetate";"2NPH";4;"019_O2.cdf";0
"120";"Oxoglutarate";"3NPH";0;"019_O2.cdf";16581168.6692015
"121";"Oxoglutarate";"3NPH";1;"019_O2.cdf";4869594.626109
"122";"Oxoglutarate";"3NPH";2;"019_O2.cdf";876196.356147022
"123";"Oxoglutarate";"3NPH";3;"019_O2.cdf";122295.348542459
"124";"Oxoglutarate";"3NPH";4;"019_O2.cdf";4994.29657794677
"125";"Oxoglutarate";"3NPH";5;"019_O2.cdf";0
"126";"Aconitate";"3NPH";0;"019_O2.cdf";7253.89733840304
"127";"Aconitate";"3NPH";1;"019_O2.cdf";2074.60076045627
"128";"Aconitate";"3NPH";2;"019_O2.cdf";482.34474017744
"129";"Aconitate";"3NPH";3;"019_O2.cdf";0
"130";"Aconitate";"3NPH";4;"019_O2.cdf";0
"131";"Aconitate";"3NPH";5;"019_O2.cdf";120.145754119138
"132";"Aconitate";"3NPH";6;"019_O2.cdf";0
"133";"Glycerate";"NPH";0;"019_O2.cdf";161166.774397972
"134";"Glycerate";"NPH";1;"019_O2.cdf";15557.7883396705
"135";"Glycerate";"NPH";2;"019_O2.cdf";2491.05830164766
"136";"Glycerate";"NPH";3;"019_O2.cdf";0
"137";"Glycolate";"NPH";0;"019_O2.cdf";25716.7870722433
"138";"Glycolate";"NPH";1;"019_O2.cdf";0
"139";"Glycolate";"NPH";2;"019_O2.cdf";0
"140";"Hydroxyglutarate";"2NPH";0;"019_O2.cdf";34362.8897338403
"141";"Hydroxyglutarate";"2NPH";1;"019_O2.cdf";7557.55386565273
"142";"Hydroxyglutarate";"2NPH";2;"019_O2.cdf";626.273764258555
"143";"Hydroxyglutarate";"2NPH";3;"019_O2.cdf";0
"144";"Hydroxyglutarate";"2NPH";4;"019_O2.cdf";0
"145";"Hydroxyglutarate";"2NPH";5;"019_O2.cdf";0
"146";"Oxalate";"2NPH";0;"019_O2.cdf";4155937.0278834
"147";"Oxalate";"2NPH";1;"019_O2.cdf";663921.818757921
"148";"Oxalate";"2NPH";2;"019_O2.cdf";84453.6628643853
"149";"Itaconate";"2NPH";0;"019_O2.cdf";2689.32192648923
"150";"Itaconate";"2NPH";1;"019_O2.cdf";317.230671736375
"151";"Itaconate";"2NPH";2;"019_O2.cdf";0
"152";"Itaconate";"2NPH";3;"019_O2.cdf";0
"153";"Itaconate";"2NPH";4;"019_O2.cdf";67397.9340937896
"154";"Itaconate";"2NPH";5;"019_O2.cdf";11707.8263624842
"155";"Lactate";"NPH";0;"020_O3.cdf";0
"156";"Lactate";"NPH";1;"020_O3.cdf";0
"157";"Lactate";"NPH";2;"020_O3.cdf";0
"158";"Lactate";"NPH";3;"020_O3.cdf";0
"159";"Pyruvate";"2NPH";0;"020_O3.cdf";257188.612903226
"160";"Pyruvate";"2NPH";1;"020_O3.cdf";39389.2903225806
"161";"Pyruvate";"2NPH";2;"020_O3.cdf";4979.54193548387
"162";"Pyruvate";"2NPH";3;"020_O3.cdf";311.954838709677
"163";"Fumarate";"2NPH";0;"020_O3.cdf";534474.967741936
"164";"Fumarate";"2NPH";1;"020_O3.cdf";93014.4064516129
"165";"Fumarate";"2NPH";2;"020_O3.cdf";14420.8903225806
"166";"Fumarate";"2NPH";3;"020_O3.cdf";1161.12258064516
"167";"Fumarate";"2NPH";4;"020_O3.cdf";0
"168";"Succinate";"2NPH";0;"020_O3.cdf";1388346.82580645
"169";"Succinate";"2NPH";1;"020_O3.cdf";237626.4
"170";"Succinate";"2NPH";2;"020_O3.cdf";35111.7548387097
"171";"Succinate";"2NPH";3;"020_O3.cdf";4454.49677419355
"172";"Succinate";"2NPH";4;"020_O3.cdf";0
"173";"Malate";"2NPH";0;"020_O3.cdf";18304214.9096774
"174";"Malate";"2NPH";1;"020_O3.cdf";4900381.16129032
"175";"Malate";"2NPH";2;"020_O3.cdf";705308.090322581
"176";"Malate";"2NPH";3;"020_O3.cdf";82330.0064516129
"177";"Malate";"2NPH";4;"020_O3.cdf";0
"178";"Isocitrate";"2NPH";0;"020_O3.cdf";102388.974193548
"179";"Isocitrate";"2NPH";1;"020_O3.cdf";21798
"180";"Isocitrate";"2NPH";2;"020_O3.cdf";3894.72258064516
"181";"Isocitrate";"2NPH";3;"020_O3.cdf";604.922580645161
"182";"Isocitrate";"2NPH";4;"020_O3.cdf";327.103225806452
"183";"Isocitrate";"2NPH";5;"020_O3.cdf";357.322580645161
"184";"Isocitrate";"2NPH";6;"020_O3.cdf";0
"185";"Citrate";"2NPH";0;"020_O3.cdf";4790034.52258065
"186";"Citrate";"2NPH";1;"020_O3.cdf";929335.8
"187";"Citrate";"2NPH";2;"020_O3.cdf";150042.161290323
"188";"Citrate";"2NPH";3;"020_O3.cdf";18870.6709677419
"189";"Citrate";"2NPH";4;"020_O3.cdf";0
"190";"Citrate";"2NPH";5;"020_O3.cdf";0
"191";"Citrate";"2NPH";6;"020_O3.cdf";0
"192";"Oxaloacetate";"2NPH";0;"020_O3.cdf";5641.66451612903
"193";"Oxaloacetate";"2NPH";1;"020_O3.cdf";1067.05806451613
"194";"Oxaloacetate";"2NPH";2;"020_O3.cdf";117.825806451613
"195";"Oxaloacetate";"2NPH";3;"020_O3.cdf";0
"196";"Oxaloacetate";"2NPH";4;"020_O3.cdf";0
"197";"Oxoglutarate";"3NPH";0;"020_O3.cdf";21702019.3483871
"198";"Oxoglutarate";"3NPH";1;"020_O3.cdf";6381658.31612903
"199";"Oxoglutarate";"3NPH";2;"020_O3.cdf";1158063.61290323
"200";"Oxoglutarate";"3NPH";3;"020_O3.cdf";161187.458064516
"201";"Oxoglutarate";"3NPH";4;"020_O3.cdf";9937.67741935484
"202";"Oxoglutarate";"3NPH";5;"020_O3.cdf";0
"203";"Aconitate";"3NPH";0;"020_O3.cdf";4710.72258064516
"204";"Aconitate";"3NPH";1;"020_O3.cdf";1100.3935483871
"205";"Aconitate";"3NPH";2;"020_O3.cdf";267.161290322581
"206";"Aconitate";"3NPH";3;"020_O3.cdf";0
"207";"Aconitate";"3NPH";4;"020_O3.cdf";0
"208";"Aconitate";"3NPH";5;"020_O3.cdf";177.135483870968
"209";"Aconitate";"3NPH";6;"020_O3.cdf";0
"210";"Glycerate";"NPH";0;"020_O3.cdf";212098.290322581
"211";"Glycerate";"NPH";1;"020_O3.cdf";18826.2387096774
"212";"Glycerate";"NPH";2;"020_O3.cdf";3305.23870967742
"213";"Glycerate";"NPH";3;"020_O3.cdf";0
"214";"Glycolate";"NPH";0;"020_O3.cdf";45496.8903225806
"215";"Glycolate";"NPH";1;"020_O3.cdf";4038.29032258065
"216";"Glycolate";"NPH";2;"020_O3.cdf";627.025806451613
"217";"Hydroxyglutarate";"2NPH";0;"020_O3.cdf";47975.5677419355
"218";"Hydroxyglutarate";"2NPH";1;"020_O3.cdf";8628.24516129032
"219";"Hydroxyglutarate";"2NPH";2;"020_O3.cdf";723.735483870968
"220";"Hydroxyglutarate";"2NPH";3;"020_O3.cdf";0
"221";"Hydroxyglutarate";"2NPH";4;"020_O3.cdf";0
"222";"Hydroxyglutarate";"2NPH";5;"020_O3.cdf";0
"223";"Oxalate";"2NPH";0;"020_O3.cdf";6941316.40645161
"224";"Oxalate";"2NPH";1;"020_O3.cdf";1106761.78064516
"225";"Oxalate";"2NPH";2;"020_O3.cdf";137790.025806452
"226";"Itaconate";"2NPH";0;"020_O3.cdf";2304.31612903226
"227";"Itaconate";"2NPH";1;"020_O3.cdf";267.096774193548
"228";"Itaconate";"2NPH";2;"020_O3.cdf";0
"229";"Itaconate";"2NPH";3;"020_O3.cdf";0
"230";"Itaconate";"2NPH";4;"020_O3.cdf";80381.9870967742
"231";"Itaconate";"2NPH";5;"020_O3.cdf";16303.1677419355
"232";"Lactate";"NPH";0;"021_O4.cdf";0
"233";"Lactate";"NPH";1;"021_O4.cdf";0
"234";"Lactate";"NPH";2;"021_O4.cdf";0
"235";"Lactate";"NPH";3;"021_O4.cdf";0
"236";"Pyruvate";"2NPH";0;"021_O4.cdf";294736.698224852
"237";"Pyruvate";"2NPH";1;"021_O4.cdf";45696.5443786982
"238";"Pyruvate";"2NPH";2;"021_O4.cdf";6476.97041420118
"239";"Pyruvate";"2NPH";3;"021_O4.cdf";768.834319526627
"240";"Fumarate";"2NPH";0;"021_O4.cdf";412571.905325444
"241";"Fumarate";"2NPH";1;"021_O4.cdf";72560.3017751479
"242";"Fumarate";"2NPH";2;"021_O4.cdf";11024.7396449704
"243";"Fumarate";"2NPH";3;"021_O4.cdf";1139.03550295858
"244";"Fumarate";"2NPH";4;"021_O4.cdf";0
"245";"Succinate";"2NPH";0;"021_O4.cdf";1033797.98816568
"246";"Succinate";"2NPH";1;"021_O4.cdf";174586.840236686
"247";"Succinate";"2NPH";2;"021_O4.cdf";25605.7100591716
"248";"Succinate";"2NPH";3;"021_O4.cdf";3308.72189349112
"249";"Succinate";"2NPH";4;"021_O4.cdf";0
"250";"Malate";"2NPH";0;"021_O4.cdf";14528872.5029586
"251";"Malate";"2NPH";1;"021_O4.cdf";3709496.13609467
"252";"Malate";"2NPH";2;"021_O4.cdf";546392.532544379
"253";"Malate";"2NPH";3;"021_O4.cdf";61988.1952662722
"254";"Malate";"2NPH";4;"021_O4.cdf";99.3846153846154
"255";"Isocitrate";"2NPH";0;"021_O4.cdf";86296.9822485207
"256";"Isocitrate";"2NPH";1;"021_O4.cdf";16675.325443787
"257";"Isocitrate";"2NPH";2;"021_O4.cdf";3475.26035502959
"258";"Isocitrate";"2NPH";3;"021_O4.cdf";606.284023668639
"259";"Isocitrate";"2NPH";4;"021_O4.cdf";405.976331360947
"260";"Isocitrate";"2NPH";5;"021_O4.cdf";891.923076923077
"261";"Isocitrate";"2NPH";6;"021_O4.cdf";0
"262";"Citrate";"2NPH";0;"021_O4.cdf";2475710.24260355
"263";"Citrate";"2NPH";1;"021_O4.cdf";486071.822485207
"264";"Citrate";"2NPH";2;"021_O4.cdf";93335.5680473373
"265";"Citrate";"2NPH";3;"021_O4.cdf";12384.2662721894
"266";"Citrate";"2NPH";4;"021_O4.cdf";0
"267";"Citrate";"2NPH";5;"021_O4.cdf";0
"268";"Citrate";"2NPH";6;"021_O4.cdf";0
"269";"Oxaloacetate";"2NPH";0;"021_O4.cdf";5050.37278106509
"270";"Oxaloacetate";"2NPH";1;"021_O4.cdf";1690.11834319527
"271";"Oxaloacetate";"2NPH";2;"021_O4.cdf";135.449704142012
"272";"Oxaloacetate";"2NPH";3;"021_O4.cdf";0
"273";"Oxaloacetate";"2NPH";4;"021_O4.cdf";0
"274";"Oxoglutarate";"3NPH";0;"021_O4.cdf";14093314.6272189
