metabolite;Time;Labeling;Treatment;N;mean;sd;se
42;Arginine;60;U;P;5;0.000782143640886828;0.000202850425736997;9.07174682425398e-05
43;Arginine;120;L;C;5;0.00458901991140213;0.000894111557800436;0.000399858844542001
44;Arginine;120;L;Fe;5;0.000994040808399236;0.000840282629630766;0.000375785816033334
45;Arginine;120;L;P;5;0.00160797293940734;0.00103700907848986;0.000463764558557548
46;Arginine;120;U;C;5;0.00481888244396837;0.00127188528799241;0.000568804392706583
47;Arginine;120;U;Fe;5;0.000217582196657955;0.000486172914937766;0.000217423137324013
48;Arginine;120;U;P;5;0.00115702886743452;0.000322834399009756;0.000144375932332221
49;Asparagine;15;L;C;5;0.00632471744765675;0.00526886305067983;0.0023563071890914
50;Asparagine;15;L;Fe;4;0.01220993363348;0.00194034328473859;0.000970171642369297
51;Asparagine;15;L;P;5;0.0216876149623488;0.00543950522903301;0.00243262069121668
52;Asparagine;15;U;C;5;0.00576758259105101;0.00285157595956141;0.0012752635377167
53;Asparagine;15;U;Fe;5;0.0079066804526752;0.00102360447622428;0.000457769838182109
54;Asparagine;15;U;P;5;0.02165256792421;0.00365041061157174;0.0016325132546522
55;Asparagine;30;L;C;5;0.0061185261478312;0.00371676440423687;0.00166218757284503
56;Asparagine;30;L;Fe;5;0.00899537894288529;0.00222802689296237;0.0009964039176723
57;Asparagine;30;L;P;5;0.0212147313193513;0.00733012147714196;0.00327812998124412
58;Asparagine;30;U;C;5;0.00339530295997665;0.000829483366609086;0.000370956238788659
59;Asparagine;30;U;Fe;5;0.0115431568560483;0.00342478540501951;0.00153161059479456
60;Asparagine;30;U;P;5;0.0276680884584282;0.00609466383989463;0.00272561652920286
61;Asparagine;60;L;C;5;0.00540899792186662;0.0017366518383483;0.000776654312759353
62;Asparagine;60;L;Fe;5;0.010265748137241;0.00133577590057272;0.00059737714327732
63;Asparagine;60;L;P;5;0.0201610461431011;0.0022376516151002;0.00100070822426525
64;Asparagine;60;U;C;5;0.00684191971820327;0.00346872110584575;0.00155125923753187
65;Asparagine;60;U;Fe;5;0.00807487174692686;0.00180566806269469;0.000807519306597137
66;Asparagine;60;U;P;5;0.0220363886224851;0.0064794328227106;0.00289769044944485
67;Asparagine;120;L;C;5;0.00555622223253972;0.00129826040452701;0.000580599703403753
68;Asparagine;120;L;Fe;5;0.0114584434561467;0.00441239458031202;0.00197328284502587
69;Asparagine;120;L;P;5;0.0197679829982587;0.00700414476320172;0.00313234876295364
70;Asparagine;120;U;C;5;0.0045608433118029;0.00204535979761273;0.000914712709181456
71;Asparagine;120;U;Fe;5;0.0104369959316429;0.00252271756926634;0.00112819359458251
72;Asparagine;120;U;P;5;0.0251307203584666;0.0100445418453805;0.00449205567382239
73;Aspartate;15;L;C;5;0.00566488099175083;0.00102168967405023;0.000456913512617182
