metabolite	derivative	isotopologue	sample	area
Itaconate	2NPH	2	019_O2.cdf	0
Itaconate	2NPH	3	019_O2.cdf	0
Itaconate	2NPH	4	019_O2.cdf	67397.9340937896
Itaconate	2NPH	5	019_O2.cdf	11707.8263624842
Lactate	NPH	0	020_O3.cdf	0
Lactate	NPH	1	020_O3.cdf	0
Lactate	NPH	2	020_O3.cdf	0
Lactate	NPH	3	020_O3.cdf	0
Pyruvate	2NPH	0	020_O3.cdf	257188.612903226
Pyruvate	2NPH	1	020_O3.cdf	39389.2903225806
Pyruvate	2NPH	2	020_O3.cdf	4979.54193548387
Pyruvate	2NPH	3	020_O3.cdf	311.954838709677
Fumarate	2NPH	0	020_O3.cdf	534474.967741936
Fumarate	2NPH	1	020_O3.cdf	93014.4064516129
Fumarate	2NPH	2	020_O3.cdf	14420.8903225806
Fumarate	2NPH	3	020_O3.cdf	1161.12258064516
Fumarate	2NPH	4	020_O3.cdf	0
Succinate	2NPH	0	020_O3.cdf	1388346.82580645
Succinate	2NPH	1	020_O3.cdf	237626.4
Succinate	2NPH	2	020_O3.cdf	35111.7548387097
Succinate	2NPH	3	020_O3.cdf	4454.49677419355
Succinate	2NPH	4	020_O3.cdf	0
Malate	2NPH	0	020_O3.cdf	18304214.9096774
Malate	2NPH	1	020_O3.cdf	4900381.16129032
Malate	2NPH	2	020_O3.cdf	705308.090322581
Malate	2NPH	3	020_O3.cdf	82330.0064516129
Malate	2NPH	4	020_O3.cdf	0
Isocitrate	2NPH	0	020_O3.cdf	102388.974193548
Isocitrate	2NPH	1	020_O3.cdf	21798
Isocitrate	2NPH	2	020_O3.cdf	3894.72258064516
Isocitrate	2NPH	3	020_O3.cdf	604.922580645161
Isocitrate	2NPH	4	020_O3.cdf	327.103225806452
Isocitrate	2NPH	5	020_O3.cdf	357.322580645161
Isocitrate	2NPH	6	020_O3.cdf	0
Citrate	2NPH	0	020_O3.cdf	4790034.52258065
Citrate	2NPH	1	020_O3.cdf	929335.8
Citrate	2NPH	2	020_O3.cdf	150042.161290323
Citrate	2NPH	3	020_O3.cdf	18870.6709677419
Citrate	2NPH	4	020_O3.cdf	0
Citrate	2NPH	5	020_O3.cdf	0
Citrate	2NPH	6	020_O3.cdf	0
Oxaloacetate	2NPH	0	020_O3.cdf	5641.66451612903
Oxaloacetate	2NPH	1	020_O3.cdf	1067.05806451613
Oxaloacetate	2NPH	2	020_O3.cdf	117.825806451613
Oxaloacetate	2NPH	3	020_O3.cdf	0
Oxaloacetate	2NPH	4	020_O3.cdf	0
Oxoglutarate	3NPH	0	020_O3.cdf	21702019.3483871
Oxoglutarate	3NPH	1	020_O3.cdf	6381658.31612903
Oxoglutarate	3NPH	2	020_O3.cdf	1158063.61290323
Oxoglutarate	3NPH	3	020_O3.cdf	161187.458064516
Oxoglutarate	3NPH	4	020_O3.cdf	9937.67741935484
Oxoglutarate	3NPH	5	020_O3.cdf	0
Aconitate	3NPH	0	020_O3.cdf	4710.72258064516
Aconitate	3NPH	1	020_O3.cdf	1100.3935483871
Aconitate	3NPH	2	020_O3.cdf	267.161290322581
Aconitate	3NPH	3	020_O3.cdf	0
Aconitate	3NPH	4	020_O3.cdf	0
Aconitate	3NPH	5	020_O3.cdf	177.135483870968
Aconitate	3NPH	6	020_O3.cdf	0
Glycerate	NPH	0	020_O3.cdf	212098.290322581
Glycerate	NPH	1	020_O3.cdf	18826.2387096774
Glycerate	NPH	2	020_O3.cdf	3305.23870967742
Glycerate	NPH	3	020_O3.cdf	0
Glycolate	NPH	0	020_O3.cdf	45496.8903225806
Glycolate	NPH	1	020_O3.cdf	4038.29032258065
Glycolate	NPH	2	020_O3.cdf	627.025806451613
Hydroxyglutarate	2NPH	0	020_O3.cdf	47975.5677419355
Hydroxyglutarate	2NPH	1	020_O3.cdf	8628.24516129032
Hydroxyglutarate	2NPH	2	020_O3.cdf	723.735483870968
Hydroxyglutarate	2NPH	3	020_O3.cdf	0
Hydroxyglutarate	2NPH	4	020_O3.cdf	0
Hydroxyglutarate	2NPH	5	020_O3.cdf	0
Oxalate	2NPH	0	020_O3.cdf	6941316.40645161
Oxalate	2NPH	1	020_O3.cdf	1106761.78064516
Oxalate	2NPH	2	020_O3.cdf	137790.025806452
Itaconate	2NPH	0	020_O3.cdf	2304.31612903226
Itaconate	2NPH	1	020_O3.cdf	267.096774193548
Itaconate	2NPH	2	020_O3.cdf	0
Itaconate	2NPH	3	020_O3.cdf	0
Itaconate	2NPH	4	020_O3.cdf	80381.9870967742
Itaconate	2NPH	5	020_O3.cdf	16303.1677419355
Lactate	NPH	0	021_O4.cdf	0
Lactate	NPH	1	021_O4.cdf	0
Lactate	NPH	2	021_O4.cdf	0
Lactate	NPH	3	021_O4.cdf	0
Pyruvate	2NPH	0	021_O4.cdf	294736.698224852
Pyruvate	2NPH	1	021_O4.cdf	45696.5443786982
