metabolite	derivative	isotopologue	sample	area
Glutamine	AccQ	1	020_A3.cdf	597558.380427292
Glutamine	AccQ	2	020_A3.cdf	87957.6430048242
Glutamine	AccQ	3	020_A3.cdf	11799.3039283253
Glutamine	AccQ	4	020_A3.cdf	526.788421778084
Glutamine	AccQ	5	020_A3.cdf	0
Glycine	AccQ	0	020_A3.cdf	303213.135768436
Glycine	AccQ	1	020_A3.cdf	54305.0241212957
Glycine	AccQ	2	020_A3.cdf	6515.60303239145
Histidine	AccQ	0	020_A3.cdf	84900.0827015851
Histidine	AccQ	1	020_A3.cdf	15227.7532736044
Histidine	AccQ	2	020_A3.cdf	1573.76292212267
Histidine	AccQ	3	020_A3.cdf	0
Histidine	AccQ	4	020_A3.cdf	0
Histidine	AccQ	5	020_A3.cdf	0
Histidine	AccQ	6	020_A3.cdf	0
Isoleucine	AccQ	0	020_A3.cdf	4228891.17160579
Isoleucine	AccQ	1	020_A3.cdf	1024036.85044797
Isoleucine	AccQ	2	020_A3.cdf	145180.544452102
Isoleucine	AccQ	3	020_A3.cdf	16103.4458993797
Isoleucine	AccQ	4	020_A3.cdf	467.622329427981
Isoleucine	AccQ	5	020_A3.cdf	0
Isoleucine	AccQ	6	020_A3.cdf	0
Leucine	AccQ	0	020_A3.cdf	2327853.9076499
Leucine	AccQ	1	020_A3.cdf	434427.49827705
Leucine	AccQ	2	020_A3.cdf	64188.9317711923
Leucine	AccQ	3	020_A3.cdf	7554.5072363887
Leucine	AccQ	4	020_A3.cdf	0
Leucine	AccQ	5	020_A3.cdf	0
Leucine	AccQ	6	020_A3.cdf	0
Lysine	AccQ	0	020_A3.cdf	237573.921433494
Lysine	AccQ	1	020_A3.cdf	77631.0682288077
Lysine	AccQ	2	020_A3.cdf	13629.0420399724
Lysine	AccQ	3	020_A3.cdf	1689.37973811165
Lysine	AccQ	4	020_A3.cdf	0
Lysine	AccQ	5	020_A3.cdf	0
Lysine	AccQ	6	020_A3.cdf	0
Methionine	AccQ	0	020_A3.cdf	268436.760854583
