metabolite;Time;Labeling;Treatment;N;mean;sd;se
145;Isocitrate;15;L;C;5;0.0139959989435974;0.00855663848322221;0.00382664506147511
146;Isocitrate;15;L;Fe;4;0.00853446884868043;0.00580194031541971;0.00290097015770985
147;Isocitrate;15;L;P;5;0.00258080576260152;0.000613992901722081;0.000274585973190584
148;Isocitrate;15;U;C;5;0.00620095907716428;0.0035821027416903;0.00160196504656158
149;Isocitrate;15;U;Fe;5;0.00311583287169381;0.00125439873835663;0.000560984169971079
150;Isocitrate;15;U;P;4;0.00270453649079492;0.000590092115854038;0.000295046057927019
151;Isocitrate;30;L;C;4;0.00875300222869641;0.00395852369166109;0.00197926184583055
152;Isocitrate;30;L;Fe;5;0.00521522818893743;0.00147602291383395;0.000660097514336006
153;Isocitrate;30;L;P;5;0.00227457584300536;0.000874932892880089;0.000391281884846084
154;Isocitrate;30;U;C;5;0.0059152663147252;0.00301157916566835;0.00134681914681131
155;Isocitrate;30;U;Fe;5;0.00369941373195259;0.000936521479082314;0.00041882513792334
156;Isocitrate;30;U;P;5;0.00176608354986102;0.00102954794835501;0.000460427839723449
157;Isocitrate;60;L;C;5;0.01396748692238;0.00225217851882178;0.00100720485311006
158;Isocitrate;60;L;Fe;5;0.00304778102745379;0.00169300258194476;0.00075713377186223
159;Isocitrate;60;L;P;5;0.00407909585545563;0.00233989297013633;0.00104643194825975
160;Isocitrate;60;U;C;5;0.0119829446527721;0.0126446379761689;0.0056548540131178
161;Isocitrate;60;U;Fe;5;0.00523180244699906;0.00632713897065659;0.00282958256829523
162;Isocitrate;60;U;P;5;0.00210214049390103;0.000536673986852194;0.000240007903271467
163;Isocitrate;120;L;C;5;0.0154941652662217;0.00367694395989452;0.00164437932875628
164;Isocitrate;120;L;Fe;5;0.00467306367838008;0.00141399622023738;0.000632358333675709
165;Isocitrate;120;L;P;5;0.00349015776065381;0.000451155957535163;0.000201763077900527
166;Isocitrate;120;U;C;5;0.00982575568294975;0.00591651200215788;0.00264594460530368
167;Isocitrate;120;U;Fe;5;0.00411612716650673;0.00213033291800944;0.000952713843874919
168;Isocitrate;120;U;P;5;0.00221220624014405;0.000471037361024827;0.000210654311838725
169;Itaconate;15;L;C;5;0.784783776568252;0.0135309434501641;0.00605122187085449
170;Itaconate;15;L;Fe;4;0.770931373143423;0.00837121512384648;0.00418560756192324
171;Itaconate;15;L;P;5;0.685319322311401;0.0241708458296643;0.0108095308697593
172;Itaconate;15;U;C;5;0.783584811383467;0.00719116538352848;0.00321598692700261
173;Itaconate;15;U;Fe;5;0.765305578612999;0.00909011962496019;0.00406522508100318
174;Itaconate;15;U;P;4;0.716342835894266;0.0385002310461467;0.0192501155230733
175;Itaconate;30;L;C;4;0.771030693149378;0.0168261483404286;0.0084130741702143
176;Itaconate;30;L;Fe;5;0.768738627683809;0.00625823886398471;0.00279876950386018
177;Itaconate;30;L;P;5;0.694497976028359;0.0386492377446828;0.0172844645751323
178;Itaconate;30;U;C;5;0.782700199754671;0.00355814510601815;0.00159125086617295
179;Itaconate;30;U;Fe;5;0.771059433082518;0.00499941863214535;0.0022358079818912
180;Itaconate;30;U;P;5;0.673422356069244;0.0286457685769061;0.0128107771611379
181;Itaconate;60;L;C;5;0.773565218208817;0.00958242947547878;0.00428539273935364
182;Itaconate;60;L;Fe;5;0.761076535767082;0.0067835066696082;0.00303367640781343
