"metabolite";"Time";"Treatment";"P_Value";"Rho"
"Malate";120;"C";0.00823557082285116;0.806060606060606
"Malate";120;"Fe";0.00138026714145767;0.890909090909091
"Malate";120;"P";0.00823557082285116;0.806060606060606
"Oxalate";15;"P";0.318262423969438;0.376256066331136
"Oxalate";30;"P";0.314637707940461;0.354649519006916
"Oxalate";60;"C";0.0293766834796137;0.683349073208448
"Oxalate";60;"Fe";0.0261525538583957;0.693470079113383
"Oxalate";60;"P";0.000607925564915838;0.887625364598595
"Oxalate";120;"C";0.0113411467110004;0.756414575087226
"Oxalate";120;"Fe";0.0564165838425479;0.618903403939901
"Oxalate";120;"P";0.00425947298652434;0.812776759390954
"Oxaloacetate";15;"C";0.505524849001354;0.239281816464541
"Oxaloacetate";15;"Fe";0.0665619488536155;0.65
"Oxaloacetate";15;"P";0.0967978395061728;0.6
"Oxaloacetate";30;"C";0.159555947643432;-0.511207720338155
"Oxaloacetate";30;"Fe";0.732886836413125;0.127272727272727
"Oxaloacetate";30;"P";0.312800267381167;-0.357575757575757
"Oxaloacetate";60;"C";1;-0.00606060606060606
"Oxaloacetate";60;"Fe";0.0275141191111856;0.709090909090909
"Oxaloacetate";60;"P";0.0544450679375418;-0.636363636363636
"Oxaloacetate";120;"C";0.0440265528478427;0.660606060606061
"Oxaloacetate";120;"Fe";0.0311410954595681;0.696969696969697
"Oxaloacetate";120;"P";0.0211664810722656;-0.733333333333333
"Oxoglutarate";15;"C";0.113298067042129;0.539393939393939
"Oxoglutarate";15;"Fe";0.573410348267219;-0.217832459454868
"Oxoglutarate";15;"P";0.0107694003527337;0.816666666666667
"Oxoglutarate";30;"C";0.0760361552028219;0.633333333333333
"Oxoglutarate";30;"Fe";0.749481376511606;0.116074086139816
"Oxoglutarate";30;"P";0.178219329270541;0.466666666666667
"Oxoglutarate";60;"C";0.0350915379341639;0.684848484848485
"Oxoglutarate";60;"Fe";0.213124726760704;-0.431460725641698
"Oxoglutarate";60;"P";0;0.975757575757576
"Oxoglutarate";120;"C";0.000466722165549449;0.915151515151515
"Oxoglutarate";120;"Fe";0.0228704477532659;-0.704693920380407
"Oxoglutarate";120;"P";0.00350474436797716;0.854545454545454
"Pyruvate";15;"C";0.244128681896491;0.406181197229962
"Pyruvate";15;"Fe";0.00657342798334372;-0.82182246067064
"Pyruvate";15;"P";0.126870366923671;-0.547722557505166
"Pyruvate";30;"Fe";0.121502918817113;-0.522232967867094
"Pyruvate";30;"P";0.0119148590988134;-0.753123419252168
"Pyruvate";60;"Fe";0.951090099662495;0.0223700025520446
"Pyruvate";60;"P";0.603986498302259;-0.187487373312218
"Pyruvate";120;"C";0.516076633781176;-0.233549683248457
"Pyruvate";120;"Fe";0.0309937844554128;-0.678556744078686
"Pyruvate";120;"P";0.10331591735411;-0.544949260913066
"Succinate";15;"Fe";0.475797238518024;-0.273861278752583
"Succinate";15;"P";0.953528039498151;0.0228217732293819
"Succinate";30;"P";0.873494892371295;-0.058025885318566
"Succinate";60;"C";0.024018509248755;-0.700649049745371
"Succinate";60;"Fe";0.170707454591742;-0.469770053592937
"Succinate";60;"P";0.39517129334856;-0.302749589396148
"Succinate";120;"C";0.0736814558838431;-0.588199202255373
"Succinate";120;"P";0.254803602635923;-0.397899460349223
