"metabolite";"Time";"Treatment";"L";"L_se";"U";"U_se";"Enrichment";"P_Value"
"Citrulline";"30";"P";0.00819311748093675;0.000279494443980421;0.00726826820967047;0.000788740853013856;0.000924849271266279;0.21031746031746
"Citrulline";"60";"C";0.0145740085660343;0.00178220235602893;0.00760978674827215;0.000302698667154811;0.00696422181776216;0.00396825396825397
"Citrulline";"60";"Fe";0.0176935502560566;0.00209817754254724;0.0121319320190858;0.00227262293406267;0.00556161823697082;0.0476190476190476
"Citrulline";"60";"P";0.0102171862738525;0.00217857788859031;0.0080651829597493;0.000488915585825574;0.00215200331410322;0.345238095238095
"Citrulline";"120";"C";0.0162414657195502;0.0011288327602836;0.00784853624861204;0.00105098166285034;0.00839292947093816;0.00396825396825397
"Citrulline";"120";"Fe";0.023045358644922;0.00181119185302891;0.0211044943598944;0.00351366850518098;0.00194086428502765;0.579365079365079
"Citrulline";"120";"P";0.0127395097727051;0.000939095503140602;0.00812777317563011;0.000487684793821615;0.00461173659707495;0.00793650793650794
"GABA";"15";"C";0.0195559156117732;0.00255624952043258;0.0179672332692571;0.00414131281450963;0.00158868234251614;0.345238095238095
"GABA";"15";"Fe";0.0148098758841144;0.0015719916251001;0.00893383077187364;0.00147344088187358;0.00587604511224072;0.0317460317460317
"GABA";"15";"P";0.020423983291325;0.00112937059044168;0.00759542670137559;0.000729515627539791;0.0128285565899494;0.00396825396825397
"GABA";"30";"C";0.0202077875418547;0.00151448340543378;0.0141652239618354;0.0024819404056265;0.00604256358001925;0.0476190476190476
"GABA";"30";"Fe";0.0191112055473378;0.00106030396041185;0.00952338362407222;0.000498381856700774;0.00958782192326559;0.00396825396825397
"GABA";"30";"P";0.0294576806673079;0.00323834743687576;0.00845231036216979;0.000353100272595996;0.0210053703051381;0.00396825396825397
"GABA";"60";"C";0.0202019422448901;0.00245138634278901;0.0136028725632581;0.00350818651176378;0.006599069681632;0.154761904761905
"GABA";"60";"Fe";0.0248028325846127;0.00158870482421416;0.0138740228215173;0.0018149853108821;0.0109288097630954;0.00396825396825397
"GABA";"60";"P";0.0400335443752506;0.00227910102577039;0.00702213658521639;0.000527007623925682;0.0330114077900342;0.00396825396825397
"GABA";"120";"C";0.0212526533353659;0.00174930622090245;0.0182876353123892;0.0044461319708203;0.0029650180229767;0.21031746031746
"GABA";"120";"Fe";0.019997976972363;0.00110499491994091;0.00613897662901236;0.000314096159271688;0.0138590003433506;0.00396825396825397
"GABA";"120";"P";0.0385962184246236;0.00495313773783942;0.00678724154620938;0.000355007495563309;0.0318089768784142;0.00396825396825397
"Glutamate";"15";"C";0.0162085323684264;0.00103689008449917;0.00833181543034569;0.000506070136563809;0.0078767169380807;0.00396825396825397
"Glutamate";"15";"Fe";0.0138569698201086;0.00131433620298973;0.00634097987414664;0.00112106915954824;0.00751598994596194;0.00793650793650794
"Glutamate";"15";"P";0.0222766786784812;0.00154958401664471;0.00955675630150545;0.000766064433050279;0.0127199223769758;0.00396825396825397
"Glutamate";"30";"C";0.0232428875464731;0.00250806683307815;0.0105486344778165;0.000540242392116402;0.0126942530686566;0.00396825396825397
"Glutamate";"30";"Fe";0.0198959414061766;0.00184770865615034;0.00741048902997828;0.00092127830598245;0.0124854523761983;0.00396825396825397
"Glutamate";"30";"P";0.0221906497150599;0.00208436896866131;0.0107783354407104;0.000861405231789061;0.0114123142743495;0.00396825396825397
"Glutamate";"60";"C";0.0270299386521872;0.00114371852154877;0.00765841559986771;0.000844376792308753;0.0193715230523195;0.00396825396825397
