"metabolite";"derivative";"isotopologue";"sample";"area"
"126";"Valine";"AccQ";1;"018_A1.cdf";762283.822222222
"127";"Valine";"AccQ";2;"018_A1.cdf";112002.222222222
"128";"Valine";"AccQ";3;"018_A1.cdf";13745.4962962963
"129";"Valine";"AccQ";4;"018_A1.cdf";0
"130";"Valine";"AccQ";5;"018_A1.cdf";0
"131";"GABA";"AccQ";0;"018_A1.cdf";3054646.33333333
"132";"GABA";"AccQ";1;"018_A1.cdf";647411.807407407
"133";"GABA";"AccQ";2;"018_A1.cdf";86679.2444444444
"134";"GABA";"AccQ";3;"018_A1.cdf";12080.1333333333
"135";"GABA";"AccQ";4;"018_A1.cdf";0
"136";"Glutamate";"AccQ";0;"018_A1.cdf";2673761.45925926
"137";"Glutamate";"AccQ";1;"018_A1.cdf";544585.533333333
"138";"Glutamate";"AccQ";2;"018_A1.cdf";91353.5481481481
"139";"Glutamate";"AccQ";3;"018_A1.cdf";11798.6444444444
"140";"Glutamate";"AccQ";4;"018_A1.cdf";471.496296296296
"141";"Glutamate";"AccQ";5;"018_A1.cdf";0
"142";"Ornithine";"2AccQ";0;"018_A1.cdf";15961.4296296296
"143";"Ornithine";"2AccQ";1;"018_A1.cdf";6555.42962962963
"144";"Ornithine";"2AccQ";2;"018_A1.cdf";1698.62222222222
"145";"Ornithine";"2AccQ";3;"018_A1.cdf";179.948148148148
"146";"Ornithine";"2AccQ";4;"018_A1.cdf";0
"147";"Ornithine";"2AccQ";5;"018_A1.cdf";0
"148";"Alanine";"AccQ";0;"019_A2.cdf";838503.034533431
"149";"Alanine";"AccQ";1;"019_A2.cdf";149073.122703894
"150";"Alanine";"AccQ";2;"019_A2.cdf";18286.5686994857
"151";"Alanine";"AccQ";3;"019_A2.cdf";1837.25936811168
"152";"Arginine";"AccQ";0;"019_A2.cdf";204892.953710507
"153";"Arginine";"AccQ";1;"019_A2.cdf";46391.1829537105
"154";"Arginine";"AccQ";2;"019_A2.cdf";6963.33578251286
"155";"Arginine";"AccQ";3;"019_A2.cdf";548.383541513593
"156";"Arginine";"AccQ";4;"019_A2.cdf";0
"157";"Arginine";"AccQ";5;"019_A2.cdf";0
"158";"Arginine";"AccQ";6;"019_A2.cdf";0
"159";"Asparagine";"AccQ";0;"019_A2.cdf";951306.899338722
"160";"Asparagine";"AccQ";1;"019_A2.cdf";161161.351947098
"161";"Asparagine";"AccQ";2;"019_A2.cdf";33155.7016899339
"162";"Asparagine";"AccQ";3;"019_A2.cdf";4981.77810433505
"163";"Asparagine";"AccQ";4;"019_A2.cdf";103.651726671565
"164";"Aspartate";"AccQ";0;"019_A2.cdf";1766669.70609846
"165";"Aspartate";"AccQ";1;"019_A2.cdf";295998.861131521
"166";"Aspartate";"AccQ";2;"019_A2.cdf";52143.4386480529
"167";"Aspartate";"AccQ";3;"019_A2.cdf";7260.55106539309
"168";"Aspartate";"AccQ";4;"019_A2.cdf";0
"169";"Citrulline";"AccQ";0;"019_A2.cdf";133913.886847906
"170";"Citrulline";"AccQ";1;"019_A2.cdf";28039.3460690669
"171";"Citrulline";"AccQ";2;"019_A2.cdf";5413.21822189567
"172";"Citrulline";"AccQ";3;"019_A2.cdf";1515.13592946363
"173";"Citrulline";"AccQ";4;"019_A2.cdf";0
"174";"Citrulline";"AccQ";5;"019_A2.cdf";0
"175";"Citrulline";"AccQ";6;"019_A2.cdf";0
"176";"Glutamine";"AccQ";0;"019_A2.cdf";3278232.43938281
"177";"Glutamine";"AccQ";1;"019_A2.cdf";806684.268919912
"178";"Glutamine";"AccQ";2;"019_A2.cdf";116174.665686995
"179";"Glutamine";"AccQ";3;"019_A2.cdf";15131.4033798677
