Compound;Time;Labeling;Treatment;N;mean;sd;se
108;Citrulline;15min;U;P;5;0.964055377;0.00279460892325447;0.0012497871045849
109;Citrulline;30min;L;C;5;0.9620068122;0.0112494574681331;0.00503091032174765
110;Citrulline;30min;L;Fe;5;0.955500563;0.0107042718512847;0.00478709590182203
111;Citrulline;30min;L;P;5;0.9543505026;0.0107531906975822;0.00480897307496246
112;Citrulline;30min;U;C;5;0.974400498;0.0150771146068564;0.0067426906330972
113;Citrulline;30min;U;Fe;5;0.9746218294;0.0370171431251954;0.0165545696721552
114;Citrulline;30min;U;P;5;0.9684538756;0.015678244568401;0.00701152412456229
115;Citrulline;60min;L;C;5;0.9277174712;0.0206338998029295;0.00922776052005399
116;Citrulline;60min;L;Fe;5;0.943257973;0.0104063354473413;0.00465385469138417
117;Citrulline;60min;L;P;5;0.9451448514;0.0207191343135661;0.00926587855201646
118;Citrulline;60min;U;C;5;0.9520379728;0.0233153172302486;0.0104269268487616
119;Citrulline;60min;U;Fe;5;0.9380112702;0.0340452646236876;0.0152255052021069
120;Citrulline;60min;U;P;5;0.9591990442;0.00450963005794808;0.00201676787258964
121;GABA;120min;L;C;5;0.9527769702;0.0064788692941463;0.00289743843180944
122;GABA;120min;L;Fe;5;0.9444849314;0.00775955465435596;0.00347017833645296
123;GABA;120min;L;P;5;0.9259475276;0.0106823682689343;0.00477730032200475
124;GABA;120min;U;C;5;0.9636877608;0.00482912216530263;0.00215964908665353
125;GABA;120min;U;Fe;5;0.9752070094;0.0013149668827869;0.0005880710676145
126;GABA;120min;U;P;5;0.9724734662;0.00230137985210997;0.00102920835827326
127;GABA;15min;L;C;5;0.9611569176;0.00643577568101433;0.00287816638213761
128;GABA;15min;L;Fe;4;0.95873906325;0.00335598238393641;0.00167799119196821
129;GABA;15min;L;P;5;0.9526299526;0.00607409155653545;0.00271641632439415
130;GABA;15min;U;C;5;0.970808725;0.00667676713689529;0.0029859410376069
131;GABA;15min;U;Fe;5;0.963019612;0.0136813694094536;0.0061184944049649
132;GABA;15min;U;P;5;0.9691200948;0.00691181295677766;0.00309105672382373
133;GABA;30min;L;C;5;0.939806537;0.00764508214040514;0.0034189846719031
134;GABA;30min;L;Fe;5;0.9302637934;0.00828332271917874;0.00370441453593041
135;GABA;30min;L;P;5;0.9304101272;0.00788139144313535;0.00352466540482716
136;GABA;30min;U;C;5;0.9691139478;0.00695657550020813;0.003111075141815
137;GABA;30min;U;Fe;5;0.9591873378;0.00378892269107553;0.00169445773974727
138;GABA;30min;U;P;5;0.9669251466;0.0044130940929509;0.0019735956765882
139;GABA;60min;L;C;5;0.941494256;0.009538895337791;0.0042659236811113
140;GABA;60min;L;Fe;5;0.9369214872;0.00194671995483291;0.00087059963043234
141;GABA;60min;L;P;5;0.923084473;0.0107905675684322;0.00482568851976381
142;GABA;60min;U;C;5;0.9686493782;0.00240657077220288;0.00107625116786196
143;GABA;60min;U;Fe;5;0.9673963602;0.00329262982646316;0.00147250882334299
144;GABA;60min;U;P;5;0.972608756;0.00511158809561893;0.00228597169095652
145;Glutamic acid;120min;L;C;5;0.9397795174;0.01360417365339;0.00608397141333832
146;Glutamic acid;120min;L;Fe;5;0.938606003;0.00897461967188573;0.00401357193170867
147;Glutamic acid;120min;L;P;5;0.9309349804;0.0177297517393053;0.00792898602265635
148;Glutamic acid;120min;U;C;5;0.9780604542;0.00763804778537279;0.00341583881269706
149;Glutamic acid;120min;U;Fe;5;0.9743211838;0.00808777304280707;0.00361696206206139
150;Glutamic acid;120min;U;P;5;0.9754052448;0.00447906909366257;0.00200310059386957
151;Glutamic acid;15min;L;C;5;0.9545472398;0.0129844647008132;0.00580682914449294
152;Glutamic acid;15min;L;Fe;4;0.95473068875;0.0054475380473958;0.0027237690236979
153;Glutamic acid;15min;L;P;5;0.9481068036;0.0055558406757598;0.00248464748463146
154;Glutamic acid;15min;U;C;5;0.9799009118;0.00468383273906111;0.00209467367995594
155;Glutamic acid;15min;U;Fe;5;0.9754077464;0.00821033799349737;0.00367177477434187
156;Glutamic acid;15min;U;P;5;0.9755973998;0.00552818018907813;0.00247227733892927
157;Glutamic acid;30min;L;C;5;0.931261573;0.01172942460515;0.00524555815081482
158;Glutamic acid;30min;L;Fe;5;0.9398038552;0.00531849421737615;0.00237850292159852
159;Glutamic acid;30min;L;P;5;0.9424638976;0.00937820510068092;0.00419406082241156
160;Glutamic acid;30min;U;C;5;0.9785118794;0.00517403030338615;0.00231389669520306
161;Glutamic acid;30min;U;Fe;5;0.9791315802;0.00534979095463846;0.00239249924799702
162;Glutamic acid;30min;U;P;5;0.9731870928;0.00200573676720591;0.000896992751288615
163;Glutamic acid;60min;L;C;5;0.928063423;0.00883766206823288;0.00395232262934802
164;Glutamic acid;60min;L;Fe;5;0.9390584448;0.0100532740772597;0.00449596084663785
165;Glutamic acid;60min;L;P;5;0.934920734;0.011278518072274;0.00504390661901293
166;Glutamic acid;60min;U;C;5;0.9748956832;0.00673114661350533;0.00301026027886309
167;Glutamic acid;60min;U;Fe;5;0.9743846808;0.00471946421066343;0.00211060855848416
168;Glutamic acid;60min;U;P;5;0.9752468576;0.00624350618518569;0.00279218084960312
169;Glutamine;120min;L;C;5;0.951433482;0.0131437797118699;0.00587807698340475
