Compound;Time;Labeling;Treatment;N;mean;sd;se
108;Citrulline;15min;U;P;5;0.035944623;0.00279460892325447;0.0012497871045849
109;Citrulline;30min;L;C;5;0.037993188;0.0112494573983197;0.00503091029052616
110;Citrulline;30min;L;Fe;5;0.0444994372;0.0107042720632375;0.00478709599661021
111;Citrulline;30min;L;P;5;0.0456494974;0.0107531906975822;0.00480897307496246
112;Citrulline;30min;U;C;5;0.0255995022;0.0150771149776179;0.00674269079890675
113;Citrulline;30min;U;Fe;5;0.0253781708;0.0370171430232758;0.0165545696265754
114;Citrulline;30min;U;P;5;0.0315461244;0.015678244568401;0.00701152412456228
115;Citrulline;60min;L;C;5;0.0722825288;0.0206338998029296;0.009227760520054
116;Citrulline;60min;L;Fe;5;0.056742027;0.0104063354473413;0.00465385469138416
117;Citrulline;60min;L;P;5;0.0548551488;0.0207191343453978;0.00926587856625202
118;Citrulline;60min;U;C;5;0.0479620276;0.0233153173862895;0.0104269269185452
119;Citrulline;60min;U;Fe;5;0.0619887298;0.0340452646236876;0.0152255052021069
120;Citrulline;60min;U;P;5;0.0408009558;0.00450963005794807;0.00201676787258964
121;GABA;120min;L;C;5;0.04722303;0.006478868946301;0.0028974382762483
122;GABA;120min;L;Fe;5;0.0555150686;0.00775955465435596;0.00347017833645296
123;GABA;120min;L;P;5;0.0740524724;0.0106823682689342;0.00477730032200475
124;GABA;120min;U;C;5;0.0363122394;0.00482912203253949;0.00215964902728005
125;GABA;120min;U;Fe;5;0.0247929908;0.00131496669705137;0.000588070984551049
126;GABA;120min;U;P;5;0.0275265338;0.00230137985210997;0.00102920835827326
127;GABA;15min;L;C;5;0.0388430824;0.00643577568101432;0.0028781663821376
128;GABA;15min;L;Fe;4;0.041260937;0.00335598205644021;0.00167799102822011
129;GABA;15min;L;P;5;0.0473700476;0.00607409141121767;0.00271641625940607
130;GABA;15min;U;C;5;0.0291912754;0.00667676743672556;0.00298594117169508
131;GABA;15min;U;Fe;5;0.0369803884;0.0136813698722862;0.00611849461194992
132;GABA;15min;U;P;5;0.0308799052;0.00691181295677767;0.00309105672382374
133;GABA;30min;L;C;5;0.0601934632;0.00764508172925147;0.00341898448802959
134;GABA;30min;L;Fe;5;0.0697362066;0.00828332271917875;0.00370441453593042
135;GABA;30min;L;P;5;0.0695898728;0.00788139144313535;0.00352466540482716
136;GABA;30min;U;C;5;0.0308860522;0.00695657550020815;0.003111075141815
137;GABA;30min;U;Fe;5;0.0408126622;0.00378892269107555;0.00169445773974727
138;GABA;30min;U;P;5;0.0330748534;0.00441309409295092;0.00197359567658821
139;GABA;60min;L;C;5;0.058505744;0.009538895337791;0.0042659236811113
140;GABA;60min;L;Fe;5;0.063078513;0.00194671993036453;0.000870599619489751
141;GABA;60min;L;P;5;0.0769155272;0.0107905677135906;0.00482568858468061
142;GABA;60min;U;C;5;0.0313506218;0.00240657077220289;0.00107625116786196
143;GABA;60min;U;Fe;5;0.0326036398;0.00329262982646314;0.00147250882334298
144;GABA;60min;U;P;5;0.027391244;0.00511158809561891;0.00228597169095652
145;Glutamic acid;120min;L;C;5;0.0602204826;0.01360417365339;0.00608397141333833
146;Glutamic acid;120min;L;Fe;5;0.061393997;0.00897461967188574;0.00401357193170867
147;Glutamic acid;120min;L;P;5;0.0690650196;0.0177297517393053;0.00792898602265635
148;Glutamic acid;120min;U;C;5;0.0219395458;0.00763804778537279;0.00341583881269706
149;Glutamic acid;120min;U;Fe;5;0.0256788162;0.00808777304280707;0.00361696206206138
150;Glutamic acid;120min;U;P;5;0.0245947554;0.00447906892969106;0.00200310052053929
151;Glutamic acid;15min;L;C;5;0.0454527602;0.0129844647008132;0.00580682914449295
152;Glutamic acid;15min;L;Fe;4;0.0452693115;0.0054475378925398;0.0027237689462699
153;Glutamic acid;15min;L;P;5;0.0518931966;0.00555584091837278;0.00248464759313128
154;Glutamic acid;15min;U;C;5;0.0200990884;0.00468383259121035;0.00209467361383507
155;Glutamic acid;15min;U;Fe;5;0.0245922538;0.00821033834589864;0.00367177493194051
156;Glutamic acid;15min;U;P;5;0.0244026004;0.0055281798577879;0.00247227719077177
157;Glutamic acid;30min;L;C;5;0.068738427;0.01172942460515;0.00524555815081482
158;Glutamic acid;30min;L;Fe;5;0.060196145;0.00531849417417957;0.00237850290228042
159;Glutamic acid;30min;L;P;5;0.0575361028;0.0093782051499359;0.00419406084443905
160;Glutamic acid;30min;U;C;5;0.0214881208;0.00517403056181829;0.00231389681077743
161;Glutamic acid;30min;U;Fe;5;0.02086842;0.00534979120654652;0.00239249936065373
162;Glutamic acid;30min;U;P;5;0.0268129072;0.00200573676720593;0.000896992751288627
163;Glutamic acid;60min;L;C;5;0.071936577;0.00883766206823289;0.00395232262934803
164;Glutamic acid;60min;L;Fe;5;0.0609415552;0.0100532740772598;0.00449596084663786
165;Glutamic acid;60min;L;P;5;0.065079266;0.0112785180722741;0.00504390661901294
166;Glutamic acid;60min;U;C;5;0.0251043168;0.00673114661350536;0.0030102602788631
167;Glutamic acid;60min;U;Fe;5;0.0256153196;0.0047194641978681;0.00211060855276192
168;Glutamic acid;60min;U;P;5;0.0247531426;0.00624350638278618;0.00279218093797275
169;Glutamine;120min;L;C;5;0.048566518;0.0131437797118699;0.00587807698340475
170;Glutamine;120min;L;Fe;5;0.0878788034;0.0302163121670723;0.0135131456069855
171;Glutamine;120min;L;P;5;0.0160778764;0.00432688467010467;0.00193504165063116
172;Glutamine;120min;U;C;5;0.0118571046;0.00434858297153047;0.00194474542602803
173;Glutamine;120min;U;Fe;5;0.0077138968;0.000735498726201276;0.000328925029830112
174;Glutamine;120min;U;P;5;0.012549533;0.00454157049290898;0.00203105206935034
175;Glutamine;15min;L;C;5;0.024439625;0.00651137364822996;0.0029119748208686
176;Glutamine;15min;L;Fe;4;0.030693905;0.00349399043074229;0.00174699521537114
177;Glutamine;15min;L;P;5;0.0177398194;0.00247213942589335;0.00110557436123097
178;Glutamine;15min;U;C;5;0.0128461266;0.00467759925757779;0.0020918859822893
179;Glutamine;15min;U;Fe;5;0.018032432;0.0185556907909336;0.00829835719559888
180;Glutamine;15min;U;P;5;0.0146765116;0.00287745527539453;0.00128683711959951
181;Glutamine;30min;L;C;5;0.0577163742;0.0166317290131925;0.00743793533137079
182;Glutamine;30min;L;Fe;5;0.0596374572;0.00900644554279157;0.00402780489386639
183;Glutamine;30min;L;P;5;0.0194411902;0.00372236935371454;0.00166469418245353
184;Glutamine;30min;U;C;5;0.0167319244;0.00345377052044346;0.00154457313247928
185;Glutamine;30min;U;Fe;5;0.014826141;0.0105038037082182;0.00469744382277806
186;Glutamine;30min;U;P;5;0.0138755746;0.00120942968798657;0.000540873399268868
187;Glutamine;60min;L;C;5;0.0740043726;0.0197187879060664;0.00881851003837305
188;Glutamine;60min;L;Fe;5;0.0703492094;0.0165622179872159;0.00740684905551688
189;Glutamine;60min;L;P;5;0.0210894566;0.00589862294883686;0.00263794437744789
190;Glutamine;60min;U;C;5;0.01285141;0.00519478024377774;0.00232317635065199
191;Glutamine;60min;U;Fe;5;0.0130586288;0.00574198958303955;0.00256789580675442
192;Glutamine;60min;U;P;5;0.0110467612;0.00287639357455064;0.00128636231254777
193;Glycine;120min;L;C;5;0.054948789;0.00326331023103144;0.00145939670165137
194;Glycine;120min;L;Fe;5;0.0466138476;0.00762050373299904;0.00340799287395535
195;Glycine;120min;L;P;5;0.0502762316;0.00643023473786139;0.00287568839702772
196;Glycine;120min;U;C;5;0.0468079394;0.00272769707344278;0.00121986321564906
197;Glycine;120min;U;Fe;5;0.043215379;0.00758109453251254;0.00339036854371
198;Glycine;120min;U;P;5;0.049325981;0.00395946864614584;0.00177072820951223
199;Glycine;15min;L;C;5;0.0480137718;0.00417383462772685;0.00186659559088795
200;Glycine;15min;L;Fe;4;0.0469116855;0.00605694261557025;0.00302847130778513
201;Glycine;15min;L;P;5;0.0442210722;0.00565501210383419;0.00252899829555147
202;Glycine;15min;U;C;5;0.0488868474;0.00350551444080064;0.00156771371714748
203;Glycine;15min;U;Fe;5;0.0416781916;0.00874150214991719;0.00390931860653508
204;Glycine;15min;U;P;5;0.0448027486;0.00937923705980363;0.00419452232856123
205;Glycine;30min;L;C;5;0.0541798498;0.00576018459087213;0.00257603286162738
206;Glycine;30min;L;Fe;5;0.0476139862;0.00289322308870327;0.00129388870008248
207;Glycine;30min;L;P;5;0.0478646668;0.0091327590005831;0.00408429398948537
208;Glycine;30min;U;C;5;0.0477279014;0.00363574931603161;0.00162595652395901
209;Glycine;30min;U;Fe;5;0.0464159152;0.0164627342877355;0.00736235859257865
210;Glycine;30min;U;P;5;0.0448500218;0.00715452463215836;0.00319960068484055
211;Glycine;60min;L;C;5;0.0489279522;0.0037632042168447;0.00168295608841572
212;Glycine;60min;L;Fe;5;0.0488159266;0.00707540275739733;0.00316421630674598
213;Glycine;60min;L;P;5;0.0443913914;0.00813232056616187;0.0036368843201515
214;Glycine;60min;U;C;5;0.0510447056;0.00309845139481892;0.00138566958875883
215;Glycine;60min;U;Fe;5;0.0489801006;0.00586631278231794;0.00262349483170777
216;Glycine;60min;U;P;5;0.0514654902;0.00633920474768821;0.00283497854782405
217;Histidine;120min;L;C;5;0.0263108462;0.0183522819838156;0.00820739001161128
218;Histidine;120min;L;Fe;5;0.0259398468;0.00631681459699505;0.00282496536802877
219;Histidine;120min;L;P;5;0.0430964682;0.0182279626404219;0.00815179271106199
220;Histidine;120min;U;C;5;0.0328159186;0.00388648791050555;0.00173809023232431
221;Histidine;120min;U;Fe;5;0.0204021342;0.00490369948570818;0.00219300107825485
222;Histidine;120min;U;P;5;0.0467499804;0.010887967682129;0.00486924717481224
223;Histidine;15min;L;C;5;0.0327599192;0.0144655994688469;0.00646921274952529
224;Histidine;15min;L;Fe;4;0.018390384;0.00672990925378299;0.0033649546268915
225;Histidine;15min;L;P;5;0.0509144878;0.00428918896326481;0.00191818361804039
226;Histidine;15min;U;C;5;0.0254620268;0.00870431428673604;0.00389268768853288
227;Histidine;15min;U;Fe;5;0.036251029;0.0161652735104345;0.00722933008884164
228;Histidine;15min;U;P;5;0.0454554288;0.00352683646591244;0.00157724921666106
229;Histidine;30min;L;C;5;0.0225135774;0.00962747058975655;0.00430553573801513
230;Histidine;30min;L;Fe;5;0.0284310086;0.00730720664283913;0.00326788215580526
231;Histidine;30min;L;P;5;0.0481468522;0.0044355481871597;0.00198363745279301
232;Histidine;30min;U;C;5;0.0334850748;0.0125184417069956;0.00559841732584214
233;Histidine;30min;U;Fe;5;0.02720899;0.0143898004097328;0.00643531437976335
234;Histidine;30min;U;P;5;0.0506474644;0.00438188340301197;0.00195963783172258
235;Histidine;60min;L;C;5;0.026298403;0.00707579122724936;0.00316439003574525
236;Histidine;60min;L;Fe;5;0.0205386704;0.00549136909761794;0.00245581491836308
237;Histidine;60min;L;P;5;0.0498882456;0.00550159275662615;0.00246038707766731
238;Histidine;60min;U;C;5;0.0215357586;0.00759180515437184;0.00339515847942174
239;Histidine;60min;U;Fe;5;0.0219918318;0.00484635172325273;0.00216735437921327
240;Histidine;60min;U;P;5;0.040866872;0.0104513430932209;0.00467398272252298
241;Isoleucine;120min;L;C;5;0.0113365672;0.00276756066785928;0.00123769075703761
242;Isoleucine;120min;L;Fe;5;0.0120345646;0.00412678743722509;0.00184555544766549
243;Isoleucine;120min;L;P;5;0.0090972342;0.00510130303414723;0.00228137207163583
244;Isoleucine;120min;U;C;5;0.0161641352;0.00886276885089246;0.00396355072389265
245;Isoleucine;120min;U;Fe;5;0.0106912284;0.0015166357415465;0.000678260123040755
246;Isoleucine;120min;U;P;5;0.012955823;0.00232821395089229;0.0010412089320717
247;Isoleucine;15min;L;C;5;0.0148253548;0.00406901753831373;0.00181971996346167
248;Isoleucine;15min;L;Fe;4;0.00843177;0.000734002440012747;0.000367001220006374
